Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
55014-9488,SF,LeBron,LeBron James,James,48.44062424,32,10400,LAL@UTA,LAL,UTA,GTD,Ankle,
55014-9524,PG,Stephen,Stephen Curry,Curry,46.63225728,31,10000,GS@IND,GS,IND,,,
55014-59358,PF,Domantas,Domantas Sabonis,Sabonis,45.55861901,29,9900,GS@IND,IND,GS,,,
55014-40783,SG,Zach,Zach LaVine,LaVine,43.75333252,30,9800,MIN@CHI,CHI,MIN,,,
55014-15755,PF,Anthony,Anthony Davis,Davis,44.54782503,23,9800,LAL@UTA,LAL,UTA,O,Calf,
55014-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,46.80833435,12,9700,MIN@CHI,MIN,CHI,,,
55014-84671,PG,Trae,Trae Young,Young,45.23793188,29,9600,BOS@ATL,ATL,BOS,,,
55014-80808,PF,Jayson,Jayson Tatum,Tatum,44.37692495,26,9400,BOS@ATL,BOS,ATL,,,
55014-14528,SF,Jimmy,Jimmy Butler,Butler,44.07894737,19,9200,TOR@MIA,MIA,TOR,,,
55014-60021,SF,Pascal,Pascal Siakam,Siakam,40.61724222,29,8900,TOR@MIA,TOR,MIA,,,
55014-80817,PF,Bam,Bam Adebayo,Adebayo,42.03448276,29,8900,TOR@MIA,MIA,TOR,,,
55014-12332,PG,John,John Wall,Wall,35.37999878,20,8500,HOU@CLE,HOU,CLE,,,
55014-42202,PF,Christian,Christian Wood,Wood,41.81176399,17,8500,HOU@CLE,HOU,CLE,O,Ankle,
55014-110310,PF,Zion,Zion Williamson,Williamson,40.52068881,29,8500,DET@NO,NO,DET,,,
55014-67026,SF,Jaylen,Jaylen Brown,Brown,40.36896383,29,8400,BOS@ATL,BOS,ATL,,,
55014-66113,SG,Donovan,Donovan Mitchell,Mitchell,38.46206981,29,8300,LAL@UTA,UTA,LAL,,,
55014-24247,SG,Fred,Fred VanVleet,VanVleet,40.81562424,32,8200,TOR@MIA,TOR,MIA,,,
55014-55059,C,Clint,Clint Capela,Capela,40.46071516,28,8200,BOS@ATL,ATL,BOS,,,
55014-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,39.79310345,29,8200,GS@IND,IND,GS,,,
55014-40203,C,Rudy,Rudy Gobert,Gobert,39.77096853,31,8100,LAL@UTA,UTA,LAL,,,
